Codigo;DescripciÃƒÂ³n de artÃƒÂ­culo;Cod Barra;Peso;Cupo;Cod Jerarq 4;CÃƒÂ³digos de artÃƒÂ­-culos alternativos;Descrip 3 Artic;Familia Envase
203030;Principe Cho Bl 8p 84g Flowpack EXP MLA;7441029515268;84;48;144 CU;203030;CU;CAJAS
203031;Principe Limon 8p 84g Flowpack EXP MLA;7441029506181;84;48;144 CU;203031;CU;CAJAS
203172;Galleta Gansito 10p 215g Tubo MLA EXP;757528047160_1;215;12;144 CU;203172;CU;CAJAS
203173;Galleta Pinguino 10p 200g Tubo MLA EXP;757528047177;200;12;144 CU;203173;CU;CAJAS
204845;Pastel Choc BrownieChoc 1p35g FLOW MLA;7500810037782;35;144;63 CU;204845;CU;CAJAS
204897;Pastel Choc BrownieChoc 1p35gSP FLOW MLA;7500810037782_1;35;144;63 CU;204897;CU;CAJAS
20726;Pinguino 3p 120g MLA;7803473003461;120;44;72 BG;20726;BG;BANDEJAS
21027;Rayita Twinkies 1p 30g BOLSA MLA;78034735411230;30;30;250 CC;21027;CC;CORRUGADO
21029;Mankeke 24p 25g ME MLA;7803473241214;25;24;250 CC;21029;CC;CORRUGADO
21097;Pan Pita Integral Light 8p 344g CJ ID;7803403000034;300;14;120 BCH;21097;BCH;BANDEJAS
21164;Quequitos Limon 6p 300g CEN;7803473002686;300;15;72 BG;21164;BG;BANDEJAS
21287;Alfajor Laguito 8P 280g ME LDS;7803400001119;280;24;72 BG;21287;BG;BANDEJAS
21348;Pan Blanco XL 1p 750g Bolsa ID;78034730026621;750;7;72 BG;21348;BG;BANDEJAS
21478;Rapiditas Clasic 1p 275g BOLSA BIM;7793890258264;275;28;56 CPA;21478;CPA;CAJAS
21734;Tortilla Pack Fiesta 24p 600g BOLSA TR;7803403000188;600;12;120 BCH;21734;BCH;BANDEJAS
21815;Pan Hambur 5BK CornD 20p 1700g PPack HOU;7803403001390;1700;1;120 BCH;21815;BCH;BANDEJAS
21860;Tortilla Burreras 22cm 8p 400g BOLSA TR;7803403000195_1;400;16;72 BG;21860;BG;BANDEJAS
21899;Pan Light Multigrano 650g FUC;7803480000309;650;10;72 BG;21899;BG;BANDEJAS
22016;Pan Integral Stuttgart 650g FUC;7803480020079;650;10;72 BG;22016;BG;BANDEJAS
22059;Pan Molde Fibra 1p 580g Bolsa CEN;7803473001153;580;10;72 BG;22059;BG;BANDEJAS
22193;Tkch 2.0 1p 44g DSP MLA;7803473003102;44;144;72 BG;22193;BG;BANDEJAS
22378;Pan Hamb 80pct 5 20p 1800g PPack HOU;7803473223784;1800;1;72 BCH;22378;BCH;BANDEJAS
2278;Frica 4 cs 30p 2100g Ppack HOU;7803473022783;2100;1;120 BCH;2278;BCH;BANDEJAS
2279;Frica 5 cs 20p 1600g Ppack HOU;7803473022790;1600;1;120 BCH;2279;BCH;BANDEJAS
22793;Tortilla Pack 3x2 24p 600g ID;7803403000362;600;9;120 BCH;22793;BCH;BANDEJAS
23211;Pizza Rectangular 3p 750g ID;7803403232114;750;12;72 BG;23211;BG;BANDEJAS
23258;Pan Centeno Linaza 400g Fuc;7803480001122;400;13;72 BG;23258;BG;BANDEJAS
23274;Rayita Twinkies 12p 360g BOLSA MLA;7803473003171;360;14;48 CG;23274;CG;CORRUGADO
23275;Pinguino 6p 80g CJA MLA;7803473003164;480;9;48 CG;23275;CG;CORRUGADO
23355;Rayita Twinkies 2p 60g BOLSA MLA;7803473003232;60;94;72 BG;23355;BG;BANDEJAS
23409;Caja Mankeke 6p 300g ME MLA;7803473003188;300;14;48 CG;23409;CG;CORRUGADO
23599;Brazo de Reina 550g ADP;7803403000478;550;9;120 BCH;23599;BCH;BANDEJAS
23633;Pan Blanco Artesanal 600g Id;7803403000447;600;10;72 BG;23633;BG;BANDEJAS
23634;Pizza Clasica 2p 500g ID;7803403236341;500;20;72 BG;23634;BG;BANDEJAS
23680;Pinguinos Polares 3p 120g MLA;7803473003249;120;44;72 BG;23680;BG;BANDEJAS
23980;Pan Pita Multigrano 8P 300G Id;7803403002328;300;14;120 BCH;23980;BCH;BANDEJAS
23981;Pan Pita 12 Granos 8P 300G Id;7803403002311;300;14;120 BCH;23981;BCH;BANDEJAS
23983;Mankeke ChocolateÃ‚Â 3p 75g MLA;780347003362;75;72;72 BG;23983;BG;BANDEJAS
24048;Pan Pasc FSec 900g FUC;7803480000415;800;18;45 CG;24048;CG;CORRUGADO
24919;Queque Clasico Vainilla 2p 450g CEN;7803473249197;450;9;120 BCH;24919;BCH;BANDEJAS
24955;Pizza Metro Toques de Cebolla 2p 500g ID;7803403002274;500;15;72 BG;24955;BG;BANDEJAS
24956;Gansito Termoformado 1p 50g MLA;7803473543189;50;144;72 BG;24956;BG;BANDEJAS
25269;Gansito 3p 150g MLA;7803473544186;150;36;72 BG;25269;BG;BANDEJAS
25383;Pan Gran y Sem 12Granos 680g FUC;7803480000439;680;10;72 BG;25383;BG;BANDEJAS
25384;Pan Gran y Sem Multigrano 600g FUC;7803480000446;600;10;72 BG;25384;BG;BANDEJAS
25746;Laguito 2p 70g LDS;7803403000737;70;100;120 BCH;25746;BCH;BANDEJAS
25747;Pan Int Artesanal 440 g ID;78034030019010;440;12;72 BG;25747;BG;BANDEJAS
26160;Megarollo 1p 50g MLA;7803473003522;50;144;72 BG;26160;BG;BANDEJAS
2637;Galleton AvenaCranberry 10p 50g FUC;7803480001009;50;120;72 BG;2637;BG;BANDEJAS
2658;Galleton AvenaChocolate 10p 50g FUC;7803480000996;50;120;72 BG;2658;BG;BANDEJAS
26733;Pan Integral Artesanal 700g Id;7803403801020;700;10;72 BG;26733;BG;BANDEJAS
27114;Pan Rallado 1000g ID;7803403000928;1000;8;70 CME;27114;CME;CORRUGADO
2725;Brownie Chips 8p 62g DISP FUC;7803480000859;62;88;72 BG;2725;BG;BANDEJAS
2747;Pan Pascua 700g ID;7803473242211;700;18;45 CG;2747;CG;CORRUGADO
27665;Madalena Rellena DDL 12p 32g EXP CHI ID;7793890252071;32;108;72 CG;27665;CG;CORRUGADO
27666;Madalena Marmolada 12p 25g EXP CHI ID;7793890252088;25;9;72 CG;27666;CG;CORRUGADO
2767;Brownie Nuez 8p 62g DISP FUC;7803480000842;62;88;72 BG;2767;BG;BANDEJAS
27761;Rebanada Pan de Pascua 2p 75g FUC;7803480001016;75;120;72 BG;27761;BG;BANDEJAS
27762;Galleta Base Alfajor 1120p 6000g LDS;7803400001317;6000;1;72 CG;27762;CG;CORRUGADO
2777;Alfajor Clasico 3p 135g Tira LDS;7803400000143;135;42;120 BCH;2777;BCH;BANDEJAS
2779;Pan Blanco Sandwich 1p 700g Bolsa HOU;7803473000508;700;8;72 BG;2779;BG;BANDEJAS
27859;Pan Hamburguesa Art 5 4p 316g ID;7803403001017;316;10;72 BG;27859;BG;BANDEJAS
27984;Pan Rallado Rebozador 25000g ID;7803473279842;25000;1;72 BG;27984;BG;BANDEJAS
28156;Pan Multigrano 380g Fuc;7803480001078;380;13;72 BG;28156;BG;BANDEJAS
28554;Pan Hot Dog 15cm 8p 415g ID;7803473214058;415;9;72 BME;28554;BME;BANDEJAS
28555;Pan Hamburguesa 8p 520g BOLSA ID;7803473215253;520;9;72 BME;28555;BME;BANDEJAS
28850;Brazo de Reina Manjar Nuez 610g ADP;7803403288500;610;9;120 BCH;28850;BCH;BANDEJAS
28878;Hamburguesa 4 CMaiz 30p 1800g PPack HOU;7803403001376;1800;1;120 BCH;28878;BCH;BANDEJAS
29300;Queque Clasico Chocolate 1p 225g CEN;7803473003782;225;21;72 BG;29300;BG;BANDEJAS
29301;Queque Clasico Limon 1p 225g CEN;7803473003799;225;21;72 BG;29301;BG;BANDEJAS
29446;29446 Pan Blanco LV 400g ID;78034030018260;400;12;72 BG;29446;BG;BANDEJAS
29447;Pizza Sab 2p 500g ID;7803403002441;500;15;72 BG;29447;BG;BANDEJAS
29455;Pan Pita Integral 10p 380g ID;7803403002496;380;14;120 BCH;29455;BCH;BANDEJAS
29456;Pan Avena Quinoa 380g Fuc;7803480001085;380;13;72 BG;29456;BG;BANDEJAS
29460;Pan Pita Blanco 10p 380g ID;7803403002489;380;14;120 BCH;29460;BCH;BANDEJAS
29461;Pan Linaza Chia 380g Fuc;7803480001092;380;13;72 BG;29461;BG;BANDEJAS
29462;Pan 12Granos 380g FUC;7803480001108;380;13;72 BG;29462;BG;BANDEJAS
2948;Alfajor Brandy 3p 135g Tira LDS;7803400000242;135;42;120 BCH;2948;BCH;BANDEJAS
2949;Alfajor Escolar 14p 280g LDS;7803400000662;280;21;72 BG;2949;BG;BANDEJAS
29586;Pan Pascua FS 1p 700g BOLSA ID;7803403295867;700;18;45 CG;29586;CG;CORRUGADO
29606;Tortilla Grandota 8p 620g TR;7803403002304_1;620;12;72 BG;29606;BG;BANDEJAS
