Sucurs;Cod Cia;Nro LPN;Nro de Sello;Nro Activo;Peso;Volum;Nro Seguimiento;Nro Tracking Maestro;Nro Orden;Nro OC;Ruta Externa;Tipo;Estado LPN;Estilo;Codigo;Cod Barra Prod;UnEmpac;Cupo;Es principal;CÃ³digos de artÃ­-culos alternativos;DescripciÃ³n de artÃ­culo;Ubic Pick;Cantidad Asignada;Cant. Empacada;Cantidad (Pza);Nro Cliente;Ciudad Clte;Dest;Estado Audit;Ubic Actual;Nro Palet;Nombre Clte;Cod Postal;OC Cliente;Comp Dest;Ref Carton;Ref Nro OC;LPN Fe y Hr Creac;LPN Fe Y Hr Modif;Usua Pick;Detail Pick User;Detail Picked Time;Usua Pick;Usua Packing;Fe Hr Packing;Unidades para niÃƒÂ±os actuales;Ruta;Cod Jerarq 1;Cod Jerarq 2;Cod Jerarq 3;Cod Jerarq 4;Cod Jerarq 5;Jerarq1;Jeraq Item 2;Jerarq3;Jerarq4;Categoria;LPN Usuario Modificac;Nro Ejecuc;Asig Usuario Mod;Asig FeyHr Creac;Asig FeyHr Modif;Tipo Contened;Vol LPN;Nro Lote;Attribute A;Cod Bloq De Lote;Etiq Prc Impresa;Es Pqte;Ver nÃºmero de serie;Long;Ancho;Alto;CodBloq;Nro Transp Recib;Porc Toler Pack;Asignación - Ubicación de selección;Etiqueta de envío: último registro de hora impreso;Etiqueta de LPN de salida: último registro de hora impreso;Etiqueta de contenido de LPN de salida: último registro de hora impreso
HKL;CLID;="169265100344273";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 19:51:16;23/09/2026 19:51:22;gcastilie;gcastilie;23/09/2026 19:51:22;gcastilie;gcastilie;23/09/2026 19:51:22;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 19:51:16;23/09/2026 19:51:22;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344272";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 19:51:08;23/09/2026 19:51:12;gcastilie;gcastilie;23/09/2026 19:51:12;gcastilie;gcastilie;23/09/2026 19:51:12;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 19:51:08;23/09/2026 19:51:12;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344271";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 19:51:00;23/09/2026 19:51:04;gcastilie;gcastilie;23/09/2026 19:51:04;gcastilie;gcastilie;23/09/2026 19:51:04;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 19:51:00;23/09/2026 19:51:04;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344270";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 19:50:43;23/09/2026 19:50:57;gcastilie;gcastilie;23/09/2026 19:50:57;gcastilie;gcastilie;23/09/2026 19:50:57;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 19:50:43;23/09/2026 19:50:57;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344094";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 13:15:16;23/09/2026 13:15:20;klopez;klopez;23/09/2026 13:15:19;klopez;klopez;23/09/2026 13:15:19;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;klopez;;klopez;23/09/2026 13:15:16;23/09/2026 13:15:19;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344093";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 13:15:11;23/09/2026 13:15:13;klopez;klopez;23/09/2026 13:15:13;klopez;klopez;23/09/2026 13:15:13;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;klopez;;klopez;23/09/2026 13:15:11;23/09/2026 13:15:13;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344095";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 13:13:40;23/09/2026 13:13:48;klopez;klopez;23/09/2026 13:13:48;klopez;klopez;23/09/2026 13:13:48;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;klopez;;klopez;23/09/2026 13:13:40;23/09/2026 13:13:48;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100342637";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 02:42:53;23/09/2026 02:42:53;jcifucon;jcifucon;23/09/2026 02:42:53;jcifucon;jcifucon;23/09/2026 02:42:53;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;jcifucon;;jcifucon;23/09/2026 02:42:53;23/09/2026 02:42:53;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100342636";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 02:42:49;23/09/2026 02:42:49;jcifucon;jcifucon;23/09/2026 02:42:49;jcifucon;jcifucon;23/09/2026 02:42:49;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;jcifucon;;jcifucon;23/09/2026 02:42:49;23/09/2026 02:42:49;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100342635";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 02:42:41;23/09/2026 02:42:41;jcifucon;jcifucon;23/09/2026 02:42:41;jcifucon;jcifucon;23/09/2026 02:42:41;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;jcifucon;;jcifucon;23/09/2026 02:42:41;23/09/2026 02:42:41;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
