Cia;Codigo;DescripciÃ³n de artÃ­culo;Cod Barra;Peso;Cupo;CUPO PALLET;UNI EMPAQUE;CÃ³digos de artÃ­-culos alternativos;Descrip 3 Artic;TipoAlmac;Linea;Costo Und;Cod Jerarq 5;Cod Jerarq 1;Jerarq1;Cod Jerarq 2;Jeraq Item 2;Cod Jerarq 3;Jerarq3;Jerarq4;Categoria;Grupo Productos;Grupo;Groupo VAS;Peligroso;Cod Pre-pack;Fe y Hr Creac;Registro de hora de modificaciÃ³n;Usuario de modificaciÃ³n;Mod Host?;Es principal;Modif Interf?;SKU Dummy?;Empaq C/OLA;Fecha Mod Cubis;Sigue InvAtrib A;Sigue InvAtrib B;Sigue InvAtrib C;Sigue InvAtrib D;Sigue InvAtrib E;Sigue InvAtrib F;Sigue InvAtrib G;Porc Toler Pack;Descrip 2 Artic;Estilo;Descripcion corta;SKU;Parte b;Parte c;Parte d;Parte e;Parte f;Std Pack Qty;Apilabilidad;UnMinDespacho;Total de unidades secundarias;Req Nro Lote;Seguimiento de número de serie;Manejo Decimal?;Usuario creado;UM principal
CLID;125075;Takis Xplosion 1p 280g Bolsa BAR;757528039646;280;12;64;CME;125075;CME;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;8;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;20/07/2019 07:04;27/07/2026 17:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;BTakisXpl1p280g;;;125075;;;;;;8;;;1;True;Not Required;False;lgfwebservice;units
CLID;125141;Pop Karameladas 1p 105g Flow BAR EXP;757528040048;105;16;135;CT;125141;CT;;;1;100234;0;Cantidad de pallet;15;Envases por Bandeja;9;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;125141;;;;;;15;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;125179;Pop Karameladas 1p 260g Flow BAR EXP;757528040406;260;10;108;CT;125179;CT;;;1;100234;0;Cantidad de pallet;12;Envases por Bandeja;9;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;125179;;;;;;12;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;125180;Pop Karameladas 1p 50g Flow BAR EXP;757528040413;50;35;120;CT;125180;CT;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;15;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;CORN CHIPS;;;125180;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;125183;Chips Fuego 1p 42g Flow BAR EXP;757528040444;42;30;120;CT;125183;CT;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;15;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;FRIED CHIPS;;;125183;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;125185;Chips Fuego 1p 170g Flow BAR EXP;757528040468;170;8;108;CT;125185;CT;;;1;100234;0;Cantidad de pallet;9;Envases por Bandeja;12;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;FRIED CHIPS;;;125185;;;;;;9;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;125186;Chips Jalapeno 1p 42g Flow BAR EXP;757528040475;42;30;120;CT;125186;CT;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;15;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;FRIED CHIPS;;;125186;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;125188;Chips Jalapeno 1p 170g Flow BAR EXP;757528040499;170;8;108;CT;125188;CT;;;1;100234;0;Cantidad de pallet;9;Envases por Bandeja;12;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;FRIED CHIPS;;;125188;;;;;;9;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;125189;Chips Sal 1p 42g Flow BAR EXP;757528040505;42;30;120;CT;125189;CT;;;1;100234;0;Cantidad de pallet;8;Envases por Bandeja;15;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;04/01/2024 18:43;18/02/2026 00:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;FRIED CHIPS;;;125189;;;;;;8;;;1;True;Not Required;False;lgfwebservice_2;units
CLID;125426;Takis Fuego 1p 15g Bolsa BAR;757528042547;15;72;48;CME;125426;CME;;;1;100234;0;Cantidad de pallet;6;Envases por Bandeja;8;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;21/04/2020 07:05;27/07/2026 17:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;;;;125426;;;;;;6;;;1;True;Not Required;False;lgfwebservice;units
